time,mass,P_covariance,Tyf_engine,Tyf_brake,Tyr_brake,theta,vx,ax,ay,steer,flag_new_dataset
3.500000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.530067790846824494e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.066694163836866593e+01,-1.459581487469545913e-01,2.844179912573127744e+00,-2.128862049227797648e+00,0.000000000000000000e+00
3.600000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.370309314317422889e+01,7.140192898789027076e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.062518591739304874e+01,-4.109778621696459633e-02,2.792788597165912101e+00,-2.154346652214516045e+00,0.000000000000000000e+00
3.700000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.636666728223402600e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.063991347517385044e+01,-3.447000675049365082e-02,2.832612367041601242e+00,-2.138024029669403525e+00,0.000000000000000000e+00
3.800000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.873937149175915096e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.062840040163760058e+01,-9.639730352825458259e-02,2.845515561619602174e+00,-2.143654077433120531e+00,0.000000000000000000e+00
3.900000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.903105747913122769e+01,1.543160329647675333e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.060750401290606071e+01,-1.131983476758801205e-01,2.827194833080878045e+00,-2.146091944678123475e+00,0.000000000000000000e+00
4.000000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,4.785994909004391928e+01,9.617848328182715179e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.057981188666433425e+01,-1.558321860955673606e-02,2.962611495643812987e+00,-2.099390857500615937e+00,0.000000000000000000e+00
4.100000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,9.640491546456045890e-01,1.091762471970136630e+03,0.000000000000000000e+00,-0.000000000000000000e+00,1.006486528532800229e+01,-9.616565032459957196e-01,2.129222513166233899e+00,-1.664239669022361756e+00,0.000000000000000000e+00
4.200000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,9.656849873500965575e-01,1.089296563772319587e+03,0.000000000000000000e+00,-0.000000000000000000e+00,9.150299832175960546e+00,-9.030585298135070937e-01,1.379416431284912425e+00,-1.320053138685476579e+00,0.000000000000000000e+00
4.300000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.648493745270462218e+00,8.305398298037462155e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.365636932669980652e+00,-7.076296892674408534e-01,9.057316011581529880e-01,-9.974466471971322745e-01,0.000000000000000000e+00
4.400000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,5.784281285784995816e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.917455770622793487e+00,-5.191647945074461257e-01,5.742322223300290185e-01,-7.536571918520731383e-01,0.000000000000000000e+00
4.500000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.390532004238945341e+01,2.276725537753780060e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.555540187699691934e+00,-2.277539346530460182e-02,3.922597263117184596e-01,-5.268760507636928159e-01,0.000000000000000000e+00
4.600000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.650396817637252056e+01,5.616447441756984738e+00,0.000000000000000000e+00,-0.000000000000000000e+00,7.616343194630957214e+00,1.031127636790938641e-02,1.140869719040963765e-01,-8.932011677663109772e-02,0.000000000000000000e+00
4.700000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.831761727361810088e+01,2.637150517161385377e+00,0.000000000000000000e+00,-0.000000000000000000e+00,7.695615648653339136e+00,3.130951232423316577e-02,4.408579608529469146e-02,-5.177973799863418852e-02,0.000000000000000000e+00
4.800000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.814709165677681568e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.570744598364576916e+00,1.057188173296509659e-03,-8.080421557290742851e-02,-1.401364957939310249e-02,0.000000000000000000e+00
4.900000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.869719348596990827e+01,5.247956513441192072e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.475353553492552372e+00,-3.568127278241487593e-02,-6.170840752150078684e-02,-1.677532263614527411e-02,0.000000000000000000e+00
5.000000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.583546762355473270e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.556381013287055914e+00,5.370014067223653721e-04,-2.066107919991864300e-02,2.608047318164691698e-03,0.000000000000000000e+00
5.100000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.758957507295738409e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.566185664681979617e+00,-5.015078831090565015e-02,-6.401031522762340442e-02,-9.734031747794084227e-03,0.000000000000000000e+00
5.200000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.882041864984436330e+01,9.425976560551633909e+00,0.000000000000000000e+00,-0.000000000000000000e+00,7.590872377798540072e+00,-2.668486231521384131e-02,1.311909350623288839e+00,-1.086822540126271885e+00,0.000000000000000000e+00
5.300000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,4.520369426900323617e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.461219085341823209e+00,-3.845549127655795152e-01,3.628847709127248411e+00,-4.681539308393335652e+00,0.000000000000000000e+00
5.400000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.784181599056186940e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.592052305523522726e+00,-3.018250044441789237e-01,3.320367527782751349e+00,-4.547149657462775885e+00,0.000000000000000000e+00
5.500000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.041175924770650454e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.547566854779233836e+00,1.646516122592232012e-01,3.407721890613401250e+00,-4.666428343108791843e+00,0.000000000000000000e+00
5.600000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.428725462030201356e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,9.397091669401579139e+00,2.111377022826188998e+00,5.986073790830632735e-01,-9.139548896690913304e-01,0.000000000000000000e+00
5.700000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.957669712532168091e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.143565828657874484e+01,1.870731196638485638e+00,-6.869921897765698948e-02,3.494450630690697224e-02,0.000000000000000000e+00
5.800000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.424461677137497304e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.305426957742806060e+01,1.497866989344773803e+00,2.392505552184047077e-02,1.768929908919040367e-02,0.000000000000000000e+00
5.900000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.027720495162851364e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.443798502654542126e+01,1.227579823814265225e+00,4.899664782683844921e-02,-1.152946413422334046e-02,0.000000000000000000e+00
6.000000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.583510621851369535e+02,8.608671079825739980e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.541114758597776913e+01,8.685560961550978787e-01,-7.753020957211397002e-02,-2.949439817521052037e-03,0.000000000000000000e+00
6.100000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.299460731585353130e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.628436648076898408e+01,6.638075065591239055e-01,-7.653636640652773659e-02,1.342085313553288174e-02,0.000000000000000000e+00
6.200000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.074224203567942766e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.683842427137797060e+01,5.197212874502230573e-01,-1.235660726959530303e-01,1.505999393523937795e-02,0.000000000000000000e+00
6.300000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,9.815720567466279078e+01,1.969734131002648825e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.742155638396626927e+01,4.835875869083490208e-01,-9.134892444035860870e-02,-1.160075793607117170e-02,0.000000000000000000e+00
6.400000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,8.871384365576092534e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.782764792842465340e+01,3.986763544626547029e-01,-6.283588917964484655e-02,7.855993458128643012e-03,0.000000000000000000e+00
6.500000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,7.536782532625616682e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.825903669233140292e+01,3.294542343151306563e-01,-3.953244318323011208e-02,-1.487267493883472416e-02,0.000000000000000000e+00
6.600000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,5.888305950125534594e+01,7.197789569051794345e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.850364981328121061e+01,1.706654248780826166e-01,-6.911382846770201815e-02,-8.768799366562296874e-03,0.000000000000000000e+00
6.700000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,4.744919983689980114e+01,1.626356742380258513e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.862048321370055959e+01,1.035489887420425470e-01,-2.996044837284402365e-02,2.143917386869404525e-03,0.000000000000000000e+00
6.800000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.582286121782011890e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.872972793877718445e+01,6.324369649237933377e-02,-9.321032231548888325e-02,3.078037365439879186e-02,0.000000000000000000e+00
6.900000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.287660501753816078e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.870641386435903897e+01,7.219253509576285810e-02,8.869943581942714428e-02,-6.496645530838771054e-02,0.000000000000000000e+00
7.000000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.263811422522390160e+01,1.355318040895611365e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.874915425351008835e+01,-1.415280594195214570e-02,2.839720004075083418e-02,2.846992982429222968e-02,0.000000000000000000e+00
7.100000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.177979807592379302e+01,2.339405502417907012e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.894340079029310431e+01,-2.266436232126307210e-02,3.656823226893576168e-02,-2.816476596168854957e-02,0.000000000000000000e+00
7.200000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.240500284901344941e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.882442502937595918e+01,2.653136716200680742e-02,2.284975512031902356e-01,-1.145902988745071821e-01,0.000000000000000000e+00
7.300000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.234196312383642891e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.888333272790861272e+01,3.167503011068026342e-02,3.683243265875653649e-01,-1.322690935531845857e-01,0.000000000000000000e+00
7.400000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,3.083666199994951995e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.892097123813277193e+01,6.107898557646400037e-03,5.371541526024484758e-01,-1.754063419260050161e-01,0.000000000000000000e+00
7.500000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.172840985333843378e+01,5.937164108213489833e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.898412079436455002e+01,-1.884907819531237913e-02,6.143629655651625665e-01,-1.931607878863624561e-01,0.000000000000000000e+00
7.600000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,4.600956709481182072e-01,1.390878231626999195e+02,0.000000000000000000e+00,-0.000000000000000000e+00,1.871459208651400630e+01,-2.110408438659634733e-01,9.024045143797968516e-01,-2.635985453268543943e-01,0.000000000000000000e+00
7.700000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,7.530905253839889610e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.814004751822436745e+01,-7.019767219329935415e-01,9.540606519065973901e-01,-3.160148979639462730e-01,0.000000000000000000e+00
7.800000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,4.287686217530742283e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.749665517710257134e+01,-4.630045753189538926e-01,9.179748535054356173e-01,-3.066626445241074639e-01,0.000000000000000000e+00
